 g__[Clostridium]_innocuum_group	 g__[Eubacterium]_brachy_group	 g__[Eubacterium]_coprostanoligenes_group	 g__[Eubacterium]_hallii_group	 g__[Eubacterium]_xylanophilum_group	 g__[Ruminococcus]_torques_group	 g__67-14	 g__A2	 g__Acetatifactor	 g__Acidibacter	 g__Acidisoma	 g__Acinetobacter	 g__Aeromicrobium	 g__Afipia	 g__Agrococcus	 g__Aliihoeflea	 g__Alistipes	 g__Alloprevotella	 g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	 g__alphaI_cluster	 g__Anaerotruncus	 g__Antricoccus	 g__Arthrobacter	 g__ASF356	 g__Aureimonas	 g__Bacillus	 g__Bacteroides	 g__Bifidobacterium	 g__BIrii41	 g__Blastococcus	 g__Blfdi19	 g__Bosea	 g__Brachybacterium	 g__Bradyrhizobium	 g__Butyricicoccus	 g__Caldicoprobacter	 g__Candidatus_Phytoplasma	 g__Candidatus_Saccharimonas	 g__Caproiciproducens	 g__Carnobacterium	 g__Caulobacter	 g__Cellulomonas	 g__Cellulosimicrobium	 g__Chelativorans	 g__CHKCI002	 g__Chloronema	 g__Christensenellaceae_R-7_group	 g__Chryseobacterium	 g__Citricoccus	 g__Clostridiales_vadinBB60_group	 g__Clostridium_sensu_stricto_1	 g__Corynebacterium_1	 g__Curtobacterium	 g__Cutibacterium	 g__D05-2	 g__Deinococcus	 g__Delftia	 g__Desemzia	 g__Devosia	 g__Domibacillus	 g__Donghicola	 g__Dubosiella	 g__Dysgonomonas	 g__Ellin6055	 g__Enterobacter	 g__Enterococcus	 g__Enterorhabdus	 g__Erwinia	 g__Erysipelatoclostridium	 g__Erysipelotrichaceae	 g__Escherichia-Shigella	 g__Exiguobacterium	 g__Falsirhodobacter	 g__Flavisolibacter	 g__Flavonifractor	 g__Friedmanniella	 g__Frigoribacterium	 g__GCA-900066575	 g__Gemella	 g__Georgenia	 g__GKS98_freshwater_group	 g__Glutamicibacter	 g__Gordonibacter	 g__Ileibacterium	 g__Isoptericola	 g__Jeotgalicoccus	 g__JG30-KF-AS9	 g__JG30-KF-CM45	 g__Kineococcus	 g__Kocuria	 g__Kurthia	 g__Lachnoclostridium	 g__Lachnospiraceae_NK4A136_group	 g__Lachnospiraceae_UCG-001	 g__Lachnospiraceae_UCG-006	 g__Lachnospiraceae_UCG-008	 g__Lactobacillus	 g__Leucobacter	 g__Luteimonas	 g__Marinagarivorans	 g__Marinilactibacillus	 g__Marinovum	 g__Marisediminicola	 g__Marivita	 g__Marmoricola	 g__Marvinbryantia	 g__Massilia	 g__MBA03	 g__Megamonas	 g__Merdibacter	 g__Methylobacterium	 g__Methylotenera	 g__Microbacterium	 g__Micromonospora	 g__Millionella	 g__Modestobacter	 g__Mollicutes_RF39	 g__Muribaculaceae	 g__Mycobacterium	 g__Neptunomonas	 g__Nesterenkonia	 g__Nocardia	 g__Nocardioides	 g__Nocardiopsis	 g__Noviherbaspirillum	 g__Novosphingobium	 g__Ornithinimicrobium	 g__Oscillibacter	 g__Paenibacillus	 g__Paeniglutamicibacter	 g__Pantoea	 g__Parabacteroides	 g__Paracoccus	 g__Parasutterella	 g__Parvularcula	 g__Patulibacter	 g__Pelagibacterium	 g__Phenylobacterium	 g__Plantibacter	 g__Prevotella_9	 g__Prevotellaceae_UCG-001	 g__Promicromonospora	 g__Pseudarthrobacter	 g__Pseudoclavibacter	 g__Pseudokineococcus	 g__Pseudolabrys	 g__Pseudomonas	 g__Psychrobacillus	 g__Quadrisphaera	 g__Ralstonia	 g__Rathayibacter	 g__Rheinheimera	 g__Rhodococcus	 g__Rhodopirellula	 g__Romboutsia	 g__Rothia	 g__Ruminiclostridium	 g__Ruminiclostridium_5	 g__Ruminiclostridium_9	 g__Ruminococcaceae_UCG-013	 g__Ruminococcaceae_UCG-014	 g__Saccharibacillus	 g__Saccharimonadales	 g__Salana	 g__Sanguibacter	 g__Sellimonas	 g__Sodalis	 g__Sphingobacterium	 g__Sphingobium	 g__Sphingomonas	 g__Sporosarcina	 g__Staphylococcus	 g__Stenotrophomonas	 g__Streptococcus	 g__Streptomyces	 g__Subdoligranulum	 g__SWB02	 g__Tardiphaga	 g__Terribacillus	 g__Terrisporobacter	 g__Tianweitania	 g__Tyzzerella	 g__unclassified_Acetobacteraceae	 g__unclassified_Acetobacterales	 g__unclassified_Acidimicrobiia	 g__unclassified_Actinobacteria	 g__unclassified_Alphaproteobacteria	 g__unclassified_Alteromonadales	 g__unclassified_Bacillaceae	 g__unclassified_Bacillales	 g__unclassified_Bacilli	 g__unclassified_Bacteria	 g__unclassified_Bacteroidales	 g__unclassified_Bacteroidia	 g__unclassified_Betaproteobacteriales	 g__unclassified_Bogoriellaceae	 g__unclassified_Burkholderiaceae	 g__unclassified_Carnobacteriaceae	 g__unclassified_Caulobacteraceae	 g__unclassified_Cellvibrionaceae	 g__unclassified_Clostridiales	 g__unclassified_Coriobacteriales	 g__unclassified_Coriobacteriales_Incertae_Sedis	 g__unclassified_Coriobacteriia	 g__unclassified_Corynebacteriaceae	 g__unclassified_Corynebacteriales	 g__unclassified_Desulfovibrionaceae	 g__unclassified_Devosiaceae	 g__unclassified_Eggerthellaceae	 g__unclassified_Enterobacteriaceae	 g__unclassified_Enterococcaceae	 g__unclassified_Erysipelotrichaceae	 g__unclassified_Family_XIII	 g__unclassified_Firmicutes	 g__unclassified_Gammaproteobacteria	 g__unclassified_Geodermatophilaceae	 g__unclassified_Lachnospiraceae	 g__unclassified_Lactobacillales	 g__unclassified_Microbacteriaceae	 g__unclassified_Micrococcaceae	 g__unclassified_Micrococcales	 g__unclassified_Microtrichales	 g__unclassified_Nocardioidaceae	 g__unclassified_Paenibacillaceae	 g__unclassified_Peptostreptococcaceae	 g__unclassified_Planococcaceae	 g__unclassified_Propionibacteriales	 g__unclassified_Proteobacteria	 g__unclassified_Pseudomonadaceae	 g__unclassified_Pseudomonadales	 g__unclassified_Rhizobiaceae	 g__unclassified_Rhizobiales	 g__unclassified_Rhodobacteraceae	 g__unclassified_Ruminococcaceae	 g__unclassified_Saprospiraceae	 g__unclassified_Sphingomonadaceae	 g__unclassified_Spirochaetaceae	 g__unclassified_Staphylococcaceae	 g__unclassified_Stappiaceae	 g__unclassified_Xanthobacteraceae	 g__unclassified_Xanthomonadaceae	 g__uncultured	 g__Virgibacillus	 g__Yangia
 g__Corynebacterium_1	0	0	0	0	0	0	0	0	0	0	0.884981098710844	0	0	0.936853630596873	0	0	0	0	0	0	0	0	0	0	0	0	0.972253833442734	0	0	0	0	0	0	0.97708968233126	0	0	0	0	0	0	0.85262543752715	0	0	0	0	0	0	0	0	0.936742466561576	0	1	0.846339286375838	0	0	0	0	0	0	0	0	0	0	0	0	0.985096901036859	0	0	0	0	0	0	0	0	0.936742466561576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.836359883722274	0	0	0	0	0	0	0	0	0.936742466561576	0	0	0.936742466561576	0.936742466561576	0	0	0	0.936742466561576	0	0	0	0	0	0.936742466561576	0	0.936742466561576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9414606997235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.933526592327078	0	0	0	0	0	0	0	0.936742466561576	0	0	0	0	0.956082105011994	0	0	0	0.929783342047498	0	0	0	0	0.909448429902952	0	0	0	0	0.898814201217568	0	0	0	0	0	0	0	0.962957611943795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.936742466561576	0.974336281314634	0	0	0	0
 g__Curtobacterium	0	0	0	0	0	0.910344640541321	0	0	0	0	0	0	0	0.937750145922408	0	0	0	0	0	0	0	0	0	0	0	0.860814401791731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.846339286375838	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92611868734108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.961667423683424	0	0	0	0.854391915582417	0.922883902564526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.943146530293998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91047036711824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.957010074876248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Cutibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__D05-2	0	1	1	0	0.999989628954911	0	1	1	1	0	0	0	0	0	1	1	0.959470669030938	1	0	1	1	1	0	1	1	0.882381979093385	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0.999043124146042	0	0	1	0	0	0	1	0	1	0.909402144930315	1	1	1	0	0	0.996531563607133	0	1	0	0	1	1	0	0	0.990007833711001	0.9999972076831	1	1	1	0	0	0	0	0	0	0.959453871937926	0	1	0	0	0	0	0	0.988806657305061	0	0.999614186919933	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0.999904313758749	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0.996846816602433	1	0.888189181583982	0	0.997063419644647	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.991009656632808	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0.997181074703155	1	1	1	0	0	1	0	1	0	0	0	0	0.99969155640214	0	0	0.999814441419407	1	0.958242251358052	0	0.904552067214771	1	0	0	0	0	1	0	0	0	1	0	0.914432430272807	0.988078896372756	0	0	0	0	0	0	0	0.98993206122728	0	1
 g__Deinococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Delftia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Desemzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Devosia	0	1	1	0	0.999989628954911	0	1	1	1	0	0	0	0	0	1	1	0.959470669030938	1	0	1	1	1	0	1	1	0.882381979093385	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0.999043124146042	0	0	1	0	0	0	1	0	1	0.909402144930315	1	1	1	0	0	0.996531563607133	0	1	0	0	1	1	0	0	0.990007833711001	0.9999972076831	1	1	1	0	0	0	0	0	0	0.959453871937926	0	1	0	0	0	0	0	0.988806657305061	0	0.999614186919933	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0.999904313758749	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0.996846816602433	1	0.888189181583982	0	0.997063419644647	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.991009656632808	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0.997181074703155	1	1	1	0	0	1	0	1	0	0	0	0	0.99969155640214	0	0	0.999814441419407	1	0.958242251358052	0	0.904552067214771	1	0	0	0	0	1	0	0	0	1	0	0.914432430272807	0.988078896372756	0	0	0	0	0	0	0	0.98993206122728	0	1
 g__Domibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Donghicola	0	1	1	0	0.999989628954911	0	1	1	1	0	0	0	0	0	1	1	0.959470669030938	1	0	1	1	1	0	1	1	0.882381979093385	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0.999043124146042	0	0	1	0	0	0	1	0	1	0.909402144930315	1	1	1	0	0	0.996531563607133	0	1	0	0	1	1	0	0	0.990007833711001	0.9999972076831	1	1	1	0	0	0	0	0	0	0.959453871937926	0	1	0	0	0	0	0	0.988806657305061	0	0.999614186919933	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0.999904313758749	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0.996846816602433	1	0.888189181583982	0	0.997063419644647	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.991009656632808	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0.997181074703155	1	1	1	0	0	1	0	1	0	0	0	0	0.99969155640214	0	0	0.999814441419407	1	0.958242251358052	0	0.904552067214771	1	0	0	0	0	1	0	0	0	1	0	0.914432430272807	0.988078896372756	0	0	0	0	0	0	0	0.98993206122728	0	1
 g__Dubosiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Dysgonomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Ellin6055	0	1	1	0	0.999989628954911	0	1	1	1	0	0	0	0	0	1	1	0.959470669030938	1	0	1	1	1	0	1	1	0.882381979093385	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0.999043124146042	0	0	1	0	0	0	1	0	1	0.909402144930315	1	1	1	0	0	0.996531563607133	0	1	0	0	1	1	0	0	0.990007833711001	0.9999972076831	1	1	1	0	0	0	0	0	0	0.959453871937926	0	1	0	0	0	0	0	0.988806657305061	0	0.999614186919933	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0.999904313758749	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0.996846816602433	1	0.888189181583982	0	0.997063419644647	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0.991009656632808	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0.997181074703155	1	1	1	0	0	1	0	1	0	0	0	0	0.99969155640214	0	0	0.999814441419407	1	0.958242251358052	0	0.904552067214771	1	0	0	0	0	1	0	0	0	1	0	0.914432430272807	0.988078896372756	0	0	0	0	0	0	0	0.98993206122728	0	1
 g__Enterobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Enterococcus	0	0	0	0	0	0	0	0	0	0	0.900554113291533	0	0	0.868632804986949	0	0	0	0	0	0	0	0	0	0	0	0	0.969376177432608	0	0	0	0	0	0	0.986777588096392	0	0	0	0	0	0	0.872946800751717	0	0	0	0	0	0	0	0	0.955092216898371	0	0.985096901036859	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.815356007258626	0	0.862435276775366	0	0	0	0.955092216898371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.955092216898371	0	0	0.955092216898371	0.955092216898371	0	0	0	0.955092216898371	0	0	0	0	0	0.955092216898371	0	0.955092216898371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.881392899988211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946040073739888	0	0	0	0	0	0	0	0.955092216898371	0	0	0	0	0.947231538997054	0	0	0	0.85835756052194	0	0	0	0	0.907236337291824	0	0	0	0	0.931842707350277	0	0	0	0	0	0	0	0.927027561782223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.955092216898371	0.988539247126818	0	0	0	0
 g__Enterorhabdus	0	0.999043124146042	0.999043124146042	0	0.999173082776138	0.832498260019179	0.999043124146042	0.999043124146042	0.999043124146042	0	0	0	0	0	0.999043124146042	0.999043124146042	0.955471281775244	0.999043124146042	0	0.999043124146042	0.999043124146042	0.999043124146042	0	0.999043124146042	0.999043124146042	0.902116906107087	0	0	0	0	0	0	0.999043124146042	0	0.999043124146042	0	0.999043124146042	0.999043124146042	0	0.999043124146042	0	0.999043124146042	0	0	0	0	0	0	0	0	0	0	0	0	0.999043124146042	0	0	0	0.999043124146042	0	0.999043124146042	0	0	0.999043124146042	0	0	1	0	0	0.999043124146042	0	0	0	0.999043124146042	0	0.999043124146042	0.903984315043034	0.999043124146042	0.999043124146042	0.999043124146042	0	0	0.994668127189251	0	0.999043124146042	0	0	0.999043124146042	0.999043124146042	0	0	0.995227833663726	0.999055177321005	0.999043124146042	0.999043124146042	0.999043124146042	0	0	0	0	0	0	0.955453875520722	0	0.999043124146042	0	0	0	0	0	0.986229112327425	0	0.999872468141676	0	0	0	0.999043124146042	0.999043124146042	0.999043124146042	0	0	0	0	0.999043124146042	0	0	0	0.999043124146042	0	0	0	0	0	0	0	0.999043124146042	0.999043124146042	0	0	0	0.99879627498563	0.999043124146042	0	0	0	0.999043124146042	0	0	0	0	0.999043124146042	0	0	0.999043124146042	0	0.999043124146042	0.999363408579221	0.999043124146042	0.90743501360199	0.833832686038997	0.999331927368661	0	0.999043124146042	0	0	0	0	0	0	0	0	0	0	0	0.999043124146042	0	0	0	0	0.999043124146042	0	0	0	0	0.999043124146042	0.988598520235417	0	0	0.999043124146042	0	0	0	0.999043124146042	0	0.999043124146042	0.999043124146042	0	0.999043124146042	0	0	0.994899394242491	0.999043124146042	0.999043124146042	0.999043124146042	0	0	0.999043124146042	0	0.999043124146042	0	0	0	0	0.999681521211798	0	0	0.999697860857512	0.999043124146042	0.954198672654165	0	0.899024670167646	0.999043124146042	0	0	0	0	0.999043124146042	0	0	0	0.999043124146042	0	0.909132022010233	0.992111992572471	0	0	0	0	0	0	0	0.990307800405572	0	0.999043124146042
 g__Erwinia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Erysipelatoclostridium	0	0	0	0	0	0	0	0	0	0.935240883921342	0.950484933164825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.873237007715022	0	0	0	0	0	0	0.961324330167968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.815356007258626	0	0	1	0	0.995442290970443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.926681878281702	0	0	0	0	0	0	0	0	0	0	0	0	0.858893439818733	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95749446450364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
