V1	 g__Acaulium	 g__Acremonium	 g__Alternaria	 g__Amphinema	 g__Apiotrichum	 g__Ascochyta	 g__Aspergillus	 g__Aureobasidium	 g__Bullera	 g__Cercophora	 g__Cercospora	 g__Cladorrhinum	 g__Cladosporium	 g__Cosmospora	 g__Cutaneotrichosporon	 g__Devriesia	 g__Dissoconium	 g__Emericellopsis	 g__Epichloe	 g__Exophiala	 g__Filobasidium	 g__Fusariella	 g__Fusarium	 g__Golubevia	 g__Kurtzmaniella	 g__Kurtzmanomyces	 g__Leptosphaeria	 g__Malassezia	 g__Metarhizium	 g__Microcyclospora	 g__Mycenella	 g__Myrothecium	 g__Paraconiothyrium	 g__Penicillium	 g__Phoma	 g__Plectosphaerella	 g__Pochonia	 g__Pseudaleuria	 g__Pyrenophora	 g__Ramularia	 g__Rhodosporidiobolus	 g__Septoria	 g__Staphylotrichum	 g__Stemphylium	 g__Suillus	 g__Talaromyces	 g__Tomentella	 g__Trechispora	 g__Trichoderma	 g__Trichomerium	 g__Trichosporon	 g__unclassified	 g__Uwebraunia	 g__Vishniacozyma	 g__Wallemia	 g__Wojnowiciella	 g__Zasmidium
 g__Epichloe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Exophiala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Filobasidium	0	1	1	0	0	0	0	0	0	1	1	0	0	0.816765618375159	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0.956474452486238	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.855726218059526	0	1	0	0	0
 g__Fusariella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Fusarium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.995844538483465	0	0	0	0	0	0	0	0	0	0	0	0	0	0.995844538483465	0	0	0	0	0	0	0.973892336622484	0	0	0	0	0	0	0	0	0
 g__Golubevia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.870134828593886	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Kurtzmaniella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Kurtzmanomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Leptosphaeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.995844538483465	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.982762940457379	0	0	0	0	0	0	0	0	0
 g__Malassezia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
